"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
-26.6,-0.08796,-0.13071
-26.5,-0.08795,-0.1307
-26.4,-0.08794,-0.1307
-26.3,-0.08793,-0.13069
-26.2,-0.08792,-0.13068
-26.1,-0.08791,-0.13067
-26,-0.0879,-0.13066
-25.9,-0.08788,-0.13065
-25.8,-0.08787,-0.13064
-25.7,-0.08786,-0.13063
-25.6,-0.08786,-0.13063
-25.5,-0.08785,-0.13062
-25.4,-0.08784,-0.13061
-25.3,-0.08783,-0.13061
-25.2,-0.08783,-0.1306
-25.1,-0.08782,-0.1306
-25,-0.08782,-0.13059
-24.9,-0.08781,-0.13059
-24.8,-0.08781,-0.13059
-24.7,-0.0878,-0.13058
-24.6,-0.08779,-0.13058
-24.5,-0.08778,-0.13057
-24.4,-0.08778,-0.13056
-24.3,-0.08777,-0.13055
-24.2,-0.08776,-0.13055
-24.1,-0.08775,-0.13054
-24,-0.08774,-0.13053
-23.9,-0.08773,-0.13052
-23.8,-0.08772,-0.13052
-23.7,-0.08772,-0.13051
-23.6,-0.08771,-0.13051
-23.5,-0.0877,-0.1305
-23.4,-0.08769,-0.13049
-23.3,-0.08768,-0.13048
-23.2,-0.08767,-0.13048
-23.1,-0.08766,-0.13047
-23,-0.08765,-0.13046
-22.9,-0.08764,-0.13045
-22.8,-0.08763,-0.13044
-22.7,-0.08763,-0.13044
-22.6,-0.08762,-0.13043
-22.5,-0.08761,-0.13042
-22.4,-0.0876,-0.13041
-22.3,-0.08759,-0.13041
-22.2,-0.08758,-0.1304
-22.1,-0.08758,-0.1304
-22,-0.08757,-0.13039
-21.9,-0.08757,-0.13039
-21.8,-0.08756,-0.13038
-21.7,-0.08756,-0.13038
-21.6,-0.08755,-0.13038
-21.5,-0.08755,-0.13037
-21.4,-0.08754,-0.13037
-21.3,-0.08754,-0.13036
-21.2,-0.08753,-0.13036
-21.1,-0.08752,-0.13035
-21,-0.08751,-0.13034
-20.9,-0.08751,-0.13034
-20.8,-0.0875,-0.13033
-20.7,-0.08749,-0.13033
-20.6,-0.08748,-0.13032
-20.5,-0.08748,-0.13031
-20.4,-0.08747,-0.13031
-20.3,-0.08747,-0.1303
-20.2,-0.08746,-0.1303
-20.1,-0.08745,-0.1303
-20,-0.08745,-0.13029
-19.9,-0.08744,-0.13028
-19.8,-0.08743,-0.13027
-19.7,-0.08742,-0.13027
-19.6,-0.08741,-0.13026
-19.5,-0.0874,-0.13025
-19.4,-0.08739,-0.13024
-19.3,-0.08738,-0.13023
-19.2,-0.08737,-0.13023
-19.1,-0.08736,-0.13022
-19,-0.08735,-0.13021
-18.9,-0.08735,-0.1302
-18.8,-0.08734,-0.1302
-18.7,-0.08733,-0.13019
-18.6,-0.08732,-0.13018
-18.5,-0.08732,-0.13018
-18.4,-0.08731,-0.13017
-18.3,-0.0873,-0.13016
-18.2,-0.08729,-0.13016
-18.1,-0.08728,-0.13015
-18,-0.08727,-0.13014
-17.9,-0.08727,-0.13013
-17.8,-0.08726,-0.13013
-17.7,-0.08726,-0.13013
-17.6,-0.08726,-0.13013
-17.5,-0.08725,-0.13013
-17.4,-0.08725,-0.13013
-17.3,-0.08725,-0.13012
-17.2,-0.08725,-0.13012
-17.1,-0.08725,-0.13012
-17,-0.08725,-0.13012
-16.9,-0.08725,-0.13012
