SG_voltage,CH_voltage,bf_fridge_temperature_cell,lockinST_R,lockinST_T,lockinST_X,lockinST_Y
0,0.112,0.217753,0.001651378,53.0423,0.00099285,0.001319587
0,0.111,0.217753,0.001424178,50.36209,0.000908528,0.001096741
0,0.11,0.217753,0.00126951,48.15079,0.000846982,0.000945662
0,0.109,0.217753,0.001109677,45.41793,0.000778916,0.000790363
0,0.108,0.217753,0.000889193,42.25993,0.000658096,0.00059798
0,0.107,0.217753,0.000800532,40.5408,0.000608359,0.000520332
0,0.106,0.217753,0.000709504,39.44534,0.000547897,0.000450774
0,0.105,0.217753,0.000423893,36.27864,0.000341721,0.000250823
0,0.104,0.217753,0.00031305,35.43631,0.000255061,0.000181506
0,0.103,0.217753,0.00023092,42.03796,0.000171502,0.000154626
0,0.102,0.217753,0.000175095,54.59871,0.000101432,0.000142722
0,0.101,0.217753,0.000177,61.64107,8.407384e-05,0.000155758
0,0.1,0.217753,0.000155826,71.44481,4.958666e-05,0.000147728
0,0.099,0.217753,0.000148352,77.60529,3.184301e-05,0.000144894
0,0.098,0.217753,0.000139353,87.5331,5.998089e-06,0.000139223
0,0.097,0.218072,0.000140612,89.86883,3.219209e-07,0.000140611
0,0.096,0.218072,0.000138999,91.53494,-3.72E-06,0.000138949
0,0.095,0.218072,0.000154848,87.21915,7.512811e-06,0.000154666
