"Frequency, Hz","SA, V, 23mK","SA, V, 137mK","SA, V, 191mK","SA, V, 295mK","SA, V, 398mK","SA, V, 496mK","SA, V, 606mK","SA, V, 4230mK"
871150.00,0.000000487520,0.000000427852,0.000000446178,0.000000429764,0.000000438923,0.000000431861,0.000000448002,0.000000487520
871200.00,0.000000514615,0.000000464049,0.000000446710,0.000000439895,0.000000431894,0.000000447032,0.000000448237,0.000000514615
871250.00,0.000000491865,0.000000442010,0.000000435961,0.000000438875,0.000000435944,0.000000447032,0.000000436804,0.000000491865
871300.00,0.000000505272,0.000000439050,0.000000433556,0.000000435416,0.000000429443,0.000000436212,0.000000436787,0.000000505272
871350.00,0.000000479893,0.000000434007,0.000000425257,0.000000443797,0.000000433973,0.000000443844,0.000000428306,0.000000479893
871400.00,0.000000494190,0.000000439852,0.000000435216,0.000000442005,0.000000436436,0.000000428553,0.000000456086,0.000000494190
871450.00,0.000000515805,0.000000441550,0.000000443974,0.000000445958,0.000000448557,0.000000440263,0.000000446612,0.000000515805
871500.00,0.000000485213,0.000000448864,0.000000436915,0.000000430960,0.000000438061,0.000000444579,0.000000447442,0.000000485213
871550.00,0.000000500411,0.000000438373,0.000000431190,0.000000437806,0.000000431368,0.000000450538,0.000000427796,0.000000500411
871600.00,0.000000511927,0.000000443083,0.000000428914,0.000000431967,0.000000429743,0.000000420218,0.000000449402,0.000000511927
871650.00,0.000000505120,0.000000432125,0.000000442938,0.000000442382,0.000000441752,0.000000445487,0.000000427109,0.000000505120
871700.00,0.000000497965,0.000000456702,0.000000456839,0.000000446125,0.000000456292,0.000000436089,0.000000432220,0.000000497965
871750.00,0.000000495804,0.000000437458,0.000000430793,0.000000446311,0.000000434778,0.000000428357,0.000000453145,0.000000495804
871800.00,0.000000488377,0.000000439927,0.000000431986,0.000000444250,0.000000432973,0.000000442876,0.000000442965,0.000000488377
871850.00,0.000000495947,0.000000425135,0.000000443804,0.000000432840,0.000000431126,0.000000444590,0.000000443427,0.000000495947
871900.00,0.000000484985,0.000000445577,0.000000442507,0.000000437013,0.000000438139,0.000000438449,0.000000430119,0.000000484985
871950.00,0.000000482505,0.000000435977,0.000000432398,0.000000442734,0.000000437776,0.000000440225,0.000000441582,0.000000482505
872000.00,0.000000467033,0.000000443656,0.000000443246,0.000000450217,0.000000439893,0.000000429451,0.000000434038,0.000000467033
872050.00,0.000000485045,0.000000439557,0.000000441590,0.000000441559,0.000000422027,0.000000433303,0.000000439410,0.000000485045
872100.00,0.000000497247,0.000000441768,0.000000444411,0.000000444630,0.000000440152,0.000000436306,0.000000440528,0.000000497247
872150.00,0.000000498986,0.000000435865,0.000000453509,0.000000449525,0.000000447335,0.000000429162,0.000000437453,0.000000498986
872200.00,0.000000478940,0.000000452705,0.000000439479,0.000000452934,0.000000439587,0.000000449568,0.000000429031,0.000000478940
872250.00,0.000000484694,0.000000414136,0.000000432633,0.000000434053,0.000000439244,0.000000440991,0.000000441665,0.000000484694
872300.00,0.000000490409,0.000000437835,0.000000425879,0.000000443640,0.000000429161,0.000000448289,0.000000449033,0.000000490409
872350.00,0.000000492336,0.000000444903,0.000000442120,0.000000449233,0.000000443800,0.000000449209,0.000000438804,0.000000492336
872400.00,0.000000487602,0.000000432980,0.000000428010,0.000000436165,0.000000436419,0.000000422563,0.000000434357,0.000000487602
872450.00,0.000000493029,0.000000444514,0.000000418583,0.000000437400,0.000000442178,0.000000421385,0.000000443864,0.000000493029
872500.00,0.000000490635,0.000000434198,0.000000458167,0.000000447007,0.000000448681,0.000000442637,0.000000455736,0.000000490635
872550.00,0.000000469631,0.000000435973,0.000000436036,0.000000445609,0.000000438653,0.000000438701,0.000000446937,0.000000469631
872600.00,0.000000538023,0.000000495165,0.000000523943,0.000000533458,0.000000517967,0.000000517341,0.000000496851,0.000000538023
872650.00,0.000000478075,0.000000448963,0.000000439760,0.000000447601,0.000000435765,0.000000438669,0.000000446111,0.000000478075
872700.00,0.000000853618,0.000000921204,0.000000935822,0.000000983936,0.000001022180,0.000000925391,0.000000896694,0.000000853618
872750.00,0.000000477016,0.000000426509,0.000000433946,0.000000437930,0.000000440951,0.000000445275,0.000000433791,0.000000477016
872800.00,0.000000479497,0.000000428884,0.000000441500,0.000000440838,0.000000444633,0.000000435817,0.000000429698,0.000000479497
872850.00,0.000000517420,0.000000507347,0.000000512867,0.000000515875,0.000000529075,0.000000499519,0.000000496537,0.000000517420
872900.00,0.000000487997,0.000000442381,0.000000441357,0.000000447693,0.000000426749,0.000000435955,0.000000441692,0.000000487997
872950.00,0.000000506898,0.000000464701,0.000000480519,0.000000465015,0.000000470382,0.000000449712,0.000000466887,0.000000506898
873000.00,0.000000469243,0.000000430903,0.000000428986,0.000000431137,0.000000423322,0.000000431157,0.000000437934,0.000000469243
873050.00,0.000000486388,0.000000447182,0.000000426978,0.000000426581,0.000000427650,0.000000437704,0.000000421835,0.000000486388
873100.00,0.000000462727,0.000000433946,0.000000426257,0.000000444610,0.000000439478,0.000000451918,0.000000444249,0.000000462727
873150.00,0.000000469579,0.000000440132,0.000000447815,0.000000443564,0.000000423839,0.000000428976,0.000000443256,0.000000469579
873200.00,0.000000491807,0.000000441542,0.000000435563,0.000000442771,0.000000456959,0.000000442313,0.000000435267,0.000000491807
873250.00,0.000000486801,0.000000430833,0.000000421000,0.000000422160,0.000000434196,0.000000426589,0.000000423390,0.000000486801
873300.00,0.000000477238,0.000000428926,0.000000452425,0.000000447489,0.000000429077,0.000000450396,0.000000433275,0.000000477238
873350.00,0.000000452891,0.000000434599,0.000000428112,0.000000430433,0.000000428149,0.000000435232,0.000000447339,0.000000452891
873400.00,0.000000464933,0.000000432783,0.000000442793,0.000000433771,0.000000440361,0.000000429705,0.000000435947,0.000000464933
873450.00,0.000000473258,0.000000423526,0.000000445003,0.000000430476,0.000000444545,0.000000447093,0.000000446093,0.000000473258
873500.00,0.000000465417,0.000000439676,0.000000431520,0.000000430599,0.000000424287,0.000000433912,0.000000436797,0.000000465417
