deplition,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.29428,0.1856,1.395916e-06,127.2625,-8.451528e-07,1.110965e-06
-0.29428,0.1855,1.79647e-06,127.9775,-1.105377e-06,1.415954e-06
-0.29428,0.1854,1.494694e-06,121.5306,-7.816012e-07,1.27392e-06
-0.29428,0.1853,6.707087e-07,112.1312,-2.526305e-07,6.211716e-07
-0.29428,0.1852,1.709751e-06,82.09757,2.350341e-07,1.693367e-06
-0.29428,0.1851,1.447459e-06,102.8346,-3.21513e-07,1.41116e-06
-0.29428,0.185,1.04016e-06,120.8942,-5.340334e-07,8.925832e-07
-0.29428,0.1849,1.453885e-06,138.8052,-1.093916e-06,9.574703e-07
-0.29428,0.1848,1.209637e-06,105.6241,-3.257766e-07,1.164928e-06
-0.29428,0.1847,1.824069e-06,121.5953,-9.556096e-07,1.553596e-06
-0.29428,0.1846,1.89545e-06,147.1967,-1.593176e-06,1.026889e-06
-0.29428,0.1845,1.064037e-06,98.04043,-1.488346e-07,1.053538e-06
-0.29428,0.1844,1.032851e-06,110.2106,-3.568232e-07,9.691994e-07
-0.29428,0.1843,1.840185e-06,139.0369,-1.389579e-06,1.206368e-06
-0.29428,0.1842,1.228272e-06,106.521,-3.492292e-07,1.177456e-06
-0.29428,0.1841,1.199517e-06,105.4099,-3.18719e-07,1.156266e-06
-0.29428,0.184,1.931654e-06,102.7279,-4.255771e-07,1.884168e-06
-0.29428,0.1839,1.292852e-06,144.0233,-1.046217e-06,7.59473e-07
-0.29428,0.1838,1.223143e-06,125.1889,-7.04851e-07,9.995754e-07
-0.29428,0.1837,1.211263e-06,103.2079,-2.76748e-07,1.179188e-06
-0.29428,0.1836,1.769067e-06,102.6824,-3.884006e-07,1.725878e-06
-0.29428,0.1835,1.847935e-06,120.2465,-9.308271e-07,1.596366e-06
-0.29428,0.1834,1.256341e-06,113.1663,-4.94197e-07,1.154936e-06
-0.29428,0.1833,1.464441e-06,111.6864,-5.410965e-07,1.360662e-06
-0.29428,0.1832,1.360651e-06,110.9424,-4.863347e-07,1.270724e-06
-0.29428,0.1831,1.363864e-06,94.66169,-1.10859e-07,1.359198e-06
-0.29428,0.183,1.2503e-06,128.7049,-7.817298e-07,9.75592e-07
-0.29428,0.1829,2.060864e-06,132.5138,-1.392647e-06,1.519085e-06
-0.29428,0.1828,1.597629e-06,78.28705,3.24307e-07,1.564253e-06
-0.29428,0.1827,1.245271e-06,76.85765,2.831351e-07,1.212632e-06
-0.29428,0.1826,1.795403e-06,105.9825,-4.943311e-07,1.726012e-06
-0.29428,0.1825,1.556737e-06,142.5398,-1.235688e-06,9.468141e-07
-0.29428,0.1824,1.498533e-06,122.3839,-8.025169e-07,1.265393e-06
-0.29428,0.1823,8.814185e-07,85.08389,7.554329e-08,8.780602e-07
-0.29428,0.1822,1.087155e-06,119.5925,-5.368329e-07,9.453445e-07
-0.29428,0.1821,8.599609e-07,121.2823,-4.464983e-07,7.348246e-07
-0.29428,0.182,1.417754e-06,74.28846,3.838688e-07,1.364657e-06
-0.29428,0.1819,8.746795e-07,82.33887,1.16581e-07,8.667334e-07
-0.29428,0.1818,2.537615e-06,135.364,-1.805696e-06,1.782903e-06
-0.29428,0.1817,1.188889e-06,126.2344,-7.027219e-07,9.5894e-07
-0.29428,0.1816,1.192029e-06,141.093,-9.274967e-07,7.485486e-07
-0.29428,0.1815,1.438379e-06,79.30633,2.668797e-07,1.413289e-06
-0.29428,0.1814,1.74196e-06,106.9895,-5.089882e-07,1.66592e-06
-0.29428,0.1813,9.352359e-07,72.85655,2.756752e-07,8.936505e-07
-0.29428,0.1812,9.287036e-07,98.78967,-1.419056e-07,9.177681e-07
-0.29428,0.1811,1.870946e-06,107.876,-5.742721e-07,1.780506e-06
-0.29428,0.181,1.629196e-06,99.87536,-2.794079e-07,1.605028e-06
-0.29428,0.1809,1.201434e-06,117.2977,-5.509592e-07,1.06753e-06
-0.29428,0.1808,4.661455e-07,156.4751,-4.285108e-07,1.865364e-07
-0.29428,0.1807,1.155668e-06,128.2494,-7.153786e-07,9.075086e-07
-0.29428,0.1806,1.186357e-06,147.0323,-9.953174e-07,6.455518e-07
-0.29428,0.1805,1.109624e-06,-161.3226,-1.051146e-06,-3.553591e-07
-0.29428,0.1804,6.504133e-07,137.591,-4.810038e-07,4.390273e-07
-0.29428,0.1803,1.63969e-06,142.3754,-1.298574e-06,1.00091e-06
-0.29428,0.1802,8.547194e-07,144.7052,-6.975252e-07,4.93789e-07
-0.29428,0.1801,8.982159e-07,123.09,-4.903301e-07,7.524155e-07
-0.29428,0.18,1.423856e-06,124.9196,-8.150395e-07,1.167459e-06
-0.29428,0.1799,8.474271e-07,67.64665,3.223065e-07,7.837247e-07
-0.29428,0.1798,1.406483e-06,126.2143,-8.30898e-07,1.134686e-06
-0.29428,0.1797,1.778449e-06,108.2511,-5.569551e-07,1.68897e-06
-0.29428,0.1796,6.589684e-07,117.2444,-3.016646e-07,5.858615e-07
-0.29428,0.1795,1.205261e-06,116.2863,-5.337707e-07,1.080589e-06
-0.29428,0.1794,1.649145e-06,119.3906,-8.093118e-07,1.436876e-06
-0.29428,0.1793,1.09044e-06,125.6016,-6.347671e-07,8.865874e-07
-0.29428,0.1792,2.096878e-06,146.4405,-1.747336e-06,1.1592e-06
-0.29428,0.1791,1.608967e-06,127.8919,-9.881258e-07,1.269657e-06
-0.29428,0.179,1.615343e-06,135.3766,-1.149611e-06,1.134552e-06
-0.29428,0.1789,7.734261e-07,144.5024,-6.295703e-07,4.490241e-07
-0.29428,0.1788,1.082103e-06,133.3189,-7.422901e-07,7.871892e-07
-0.29428,0.1787,1.023799e-06,-162.7901,-9.778607e-07,-3.028605e-07
-0.29428,0.1786,9.641535e-07,177.3076,-9.63075e-07,4.530139e-08
-0.29428,0.1785,1.650799e-06,-135.9432,-1.186385e-06,-1.147879e-06
-0.29428,0.1784,1.36939e-06,-132.8591,-9.313635e-07,-1.00371e-06
-0.29428,0.1783,2.163257e-06,-167.5028,-2.111881e-06,-4.68079e-07
-0.29428,0.1782,1.836877e-06,-161.5652,-1.742536e-06,-5.808044e-07
-0.29428,0.1781,2.469878e-06,-137.904,-1.832608e-06,-1.655666e-06
-0.29428,0.178,2.80402e-06,-137.5403,-2.068581e-06,-1.892834e-06
-0.29428,0.1779,2.39044e-06,-140.9103,-1.855395e-06,-1.507233e-06
-0.29428,0.1778,2.39467e-06,-126.7589,-1.433014e-06,-1.918416e-06
-0.29428,0.1777,3.703879e-06,-137.4319,-2.727728e-06,-2.505479e-06
-0.29428,0.1776,2.992652e-06,-137.827,-2.217946e-06,-2.009153e-06
-0.29428,0.1775,3.027219e-06,-126.5054,-1.800896e-06,-2.43326e-06
-0.29428,0.1774,3.900032e-06,-132.9264,-2.65604e-06,-2.855636e-06
-0.29428,0.1773,3.691228e-06,-134.4047,-2.58276e-06,-2.636991e-06
-0.29428,0.1772,3.710104e-06,-132.1082,-2.487625e-06,-2.752376e-06
-0.29428,0.1771,3.715507e-06,-135.8238,-2.664702e-06,-2.589153e-06
-0.29428,0.177,4.077924e-06,-131.3599,-2.694547e-06,-3.060696e-06
-0.29428,0.1769,3.734344e-06,-132.1064,-2.503881e-06,-2.770498e-06
-0.29428,0.1768,5.175115e-06,-127.1626,-3.12612e-06,-4.124097e-06
-0.29428,0.1767,4.287332e-06,-124.4825,-2.427265e-06,-3.533972e-06
-0.29428,0.1766,4.020502e-06,-133.138,-2.748912e-06,-2.933716e-06
-0.29428,0.1765,4.881938e-06,-129.8147,-3.125851e-06,-3.749823e-06
-0.29428,0.1764,4.619222e-06,-123.5194,-2.55078e-06,-3.850953e-06
-0.29428,0.1763,5.637958e-06,-132.3363,-3.79699e-06,-4.167538e-06
-0.29428,0.1762,6.559101e-06,-126.8776,-3.936097e-06,-5.246657e-06
-0.29428,0.1761,6.089167e-06,-121.9721,-3.224182e-06,-5.165381e-06
-0.29428,0.176,7.080981e-06,-127.5737,-4.317831e-06,-5.612142e-06
