"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57595,1.24265,0.0765,874846.4108,874825,1288.0787
0.57595,1.24265,0.0765,874845.4314,874900,1283.99856
0.57591,1.28199,0.07892,874845.8316,874900,1288.95515
0.57591,1.28199,0.07892,874844.7606,874850,1285.07649
0.57591,1.28055,0.07883,874846.7535,874850,1280.39412
0.57587,1.32453,0.08154,874847.2079,874900,1284.44903
0.57587,1.32084,0.08131,874845.2096,874912.5,1292.52706
0.57583,1.36274,0.08389,874845.2701,874900,1283.9649
0.57583,1.36386,0.08396,874845.8791,874887.5,1286.33358
0.5758,1.392,0.08569,874846.2089,874875,1285.22254
0.57579,1.40464,0.08647,874848.8618,874887.5,1293.27132
0.57579,1.40511,0.0865,874849.4176,874937.5,1285.26672
0.57576,1.4315,0.08813,874847.8941,874887.5,1282.61539
0.57575,1.44332,0.08885,874850.1902,874900,1286.6385
0.57571,1.48362,0.09134,874847.4383,874887.5,1283.84061
0.57571,1.48395,0.09136,874848.4005,874812.5,1279.31664
0.57571,1.48107,0.09118,874847.7145,874850,1280.90818
0.57567,1.52296,0.09376,874850.4669,874875,1297.72484
0.57567,1.52265,0.09374,874850.3828,874900,1286.0957
0.57566,1.53511,0.09451,874851.5374,874850,1275.9959
0.57563,1.56166,0.09614,874851.0581,874862.5,1277.46782
0.57563,1.5623,0.09618,874851.2819,874900,1282.47501
0.57559,1.60132,0.09858,874852.0244,874875,1277.84256
0.57559,1.6034,0.09871,874852.0213,874900,1275.25332
0.57557,1.62659,0.10014,874854.2166,874950,1275.3154
0.57555,1.64097,0.10102,874851.3557,874850,1277.77221
0.57555,1.64161,0.10106,874853.3011,874925,1276.8534
0.57551,1.68031,0.10344,874850.9075,874912.5,1274.41839
0.57551,1.68207,0.10355,874847.9995,874825,1270.15981
0.57547,1.72157,0.10598,874847.2435,874925,1273.52832
0.57547,1.72141,0.10597,874844.6595,874837.5,1273.11621
0.57545,1.7446,0.1074,874842.3654,874862.5,1272.2625
0.57543,1.76171,0.10846,874841.0951,874837.5,1273.46163
0.57541,1.78537,0.10991,874840.7378,874900,1272.29899
0.5754,1.79945,0.11078,874839.477,874825,1267.77044
0.57535,1.84102,0.11334,874838.5601,874837.5,1279.23298
0.57535,1.84182,0.11339,874838.6883,874887.5,1273.43485
0.57535,1.84821,0.11378,874838.6305,874825,1271.05457
0.57534,1.85829,0.1144,874837.9558,874825,1268.56991
0.57527,1.9205,0.11823,874838.2529,874887.5,1273.63725
0.57527,1.92225,0.11834,874837.0751,874925,1275.76985
0.57526,1.93057,0.11885,874836.55,874887.5,1269.88133
0.57523,1.96191,0.12078,874836.7177,874837.5,1267.90038
0.57523,1.95999,0.12066,874836.6934,874825,1274.25743
0.57523,1.96431,0.12093,874833.7298,874850,1265.19532
0.57519,2.00445,0.1234,874834.7478,874862.5,1281.02051
0.57519,2.00189,0.12324,874834.1627,874850,1274.03305
0.57515,2.0433,0.12579,874834.1963,874825,1271.63408
0.57511,2.08009,0.12806,874831.8831,874837.5,1266.79025
0.57511,2.08152,0.12814,874834.4023,874812.5,1272.35714
0.57507,2.1215,0.1306,874832.4325,874900,1268.3618
0.57511,2.08409,0.1283,874833.2268,874800,1269.51417
0.57507,2.12357,0.13073,874831.5708,874887.5,1273.97159
0.57507,2.1247,0.1308,874831.5378,874825,1269.41755
0.57503,2.16276,0.13315,874831.5909,874850,1270.05549
0.57503,2.1634,0.13318,874829.0926,874912.5,1262.11767
0.57499,2.20385,0.13567,874828.4018,874850,1269.79983
0.57499,2.20401,0.13568,874827.0648,874837.5,1263.73637
0.57491,2.28381,0.1406,874823.3895,874837.5,1270.95047
0.57491,2.28509,0.14068,874824.6363,874875,1267.58733
0.57491,2.28445,0.14064,874824.2005,874800,1268.1954
0.57487,2.32603,0.1432,874821.9693,874812.5,1264.82155
0.57487,2.3249,0.14313,874822.6095,874812.5,1266.27127
0.57487,2.32459,0.14311,874819.3204,874837.5,1269.35927
0.57483,2.36504,0.1456,874818.9017,874875,1267.56028
0.57483,2.36408,0.14554,874817.0642,874862.5,1264.4431
0.57479,2.40374,0.14798,874816.5382,874887.5,1256.82907
0.57479,2.40677,0.14817,874811.2577,874875,1260.7659
0.57475,2.4458,0.15057,874805.0449,874837.5,1273.6062
0.57476,2.43189,0.14971,874803.8928,874825,1268.68479
0.57475,2.44627,0.1506,874802.8664,874850,1259.39058
0.57471,2.48577,0.15303,874801.8441,874850,1270.31402
0.57471,2.48689,0.1531,874801.022,874900,1265.77657
0.57467,2.52606,0.15551,874798.2342,874800,1263.43004
0.57467,2.52655,0.15554,874798.0771,874875,1270.99656
