mwradiation_frequency,lockinIC_R,lockinIC_T
1.29815E+11,3.959778e-06,-105.7447
1.29817E+11,3.7776e-06,-114.0606
1.29819E+11,4.573574e-06,-114.6688
1.29821E+11,3.94397e-06,-115.201
1.29823E+11,4.162307e-06,-115.5764
1.29825E+11,2.88357e-06,-111.0184
1.29827E+11,3.467375e-06,-102.6929
1.29829E+11,3.55952e-06,-110.9555
1.29831E+11,4.002599e-06,-111.0753
1.29833E+11,4.665898e-06,-117.5117
1.29835E+11,3.837212e-06,-121.5831
1.29837E+11,3.832155e-06,-115.4278
1.29839E+11,4.578189e-06,-115.4326
1.29841E+11,4.020407e-06,-105.5148
1.29843E+11,4.50682e-06,-117.9477
1.29845E+11,5.307225e-06,-115.9054
1.29847E+11,4.457535e-06,-110.2994
1.29849E+11,4.038803e-06,-105.2696
1.29851E+11,3.584286e-06,-117.4726
1.29853E+11,4.399565e-06,-109.1321
1.29855E+11,3.860654e-06,-97.94176
1.29857E+11,3.738407e-06,-99.11313
1.29859E+11,4.591774e-06,-108.8174
1.29861E+11,4.059299e-06,-96.18932
1.29863E+11,4.021273e-06,-108.1903
1.29865E+11,4.156261e-06,-100.6499
1.29867E+11,4.136005e-06,-105.0743
1.29869E+11,3.600273e-06,-108.8478
1.29871E+11,3.114832e-06,-108.2537
1.29873E+11,4.493381e-06,-115.4355
1.29875E+11,3.718709e-06,-100.8776
1.29877E+11,4.065496e-06,-101.9769
1.29879E+11,3.732265e-06,-101.4866
1.29881E+11,3.639897e-06,-107.0004
1.29883E+11,3.473443e-06,-118.7568
1.29885E+11,3.12175e-06,-120.5052
1.29887E+11,3.371123e-06,-109.1887
1.29889E+11,2.697156e-06,-111.3227
1.29891E+11,3.660941e-06,-110.1774
1.29893E+11,2.941187e-06,-120.5022
1.29895E+11,2.955459e-06,-126.2051
1.29897E+11,2.305045e-06,-121.469
1.29899E+11,2.47717e-06,-129.7224
1.29901E+11,2.617808e-06,-115.309
1.29903E+11,2.538515e-06,-119.1462
1.29905E+11,2.458848e-06,-115.2474
1.29907E+11,2.879284e-06,-118.683
1.29909E+11,2.325056e-06,-115.5524
1.29911E+11,9.206794e-07,-132.4666
1.29913E+11,1.597316e-06,-111.9406
1.29915E+11,2.446431e-06,-102.9858
1.29917E+11,1.893768e-06,-85.05941
1.29919E+11,2.055142e-06,-120.9781
1.29921E+11,1.498466e-06,-98.09638
1.29923E+11,1.451058e-06,-132.5007
1.29925E+11,9.616501e-07,-149.2404
1.29927E+11,5.634371e-07,-131.8739
1.29929E+11,1.330649e-06,-142.0967
1.29931E+11,3.990735e-07,-89.75096
1.29933E+11,5.95875e-07,-151.306
1.29935E+11,9.287148e-07,96.20987
1.29937E+11,1.319406e-06,-121.1459
1.29939E+11,2.404298e-06,-110.1639
1.29941E+11,1.344636e-06,-97.80188
1.29943E+11,1.264778e-06,-141.5957
1.29945E+11,1.435127e-06,-135.6249
1.29947E+11,1.072805e-06,-166.9127
1.29949E+11,9.292066e-07,-143.456
1.29951E+11,3.183614e-07,-40.68678
1.29953E+11,8.381064e-07,-169.03
1.29955E+11,1.507854e-06,-127.9784
1.29957E+11,1.277139e-06,-125.5998
1.29959E+11,4.832334e-07,-114.1262
1.29961E+11,1.082936e-06,171.866
1.29963E+11,6.964802e-07,-175.7532
1.29965E+11,1.16828e-06,170.545
1.29967E+11,1.082841e-06,-159.1012
1.29969E+11,4.456266e-07,-91.74475
1.29971E+11,4.018116e-07,155.6254
1.29973E+11,1.24289e-06,-125.8883
1.29975E+11,2.20187e-07,-103.3102
1.29977E+11,8.576028e-07,-167.4731
1.29979E+11,1.372743e-06,-153.5116
1.29981E+11,1.033332e-06,-123.4641
