"x, mkm","Potential energy, eV, VCh=0.01, VSG=-0.55","Potential energy, eV, VCh=0.05 V, VSG=-0.5","Potential energy, eV, VCh=0.1 V, VSG=-0.44","Potential energy, eV, VCh=0.15 V, VSG= -0.39"
-68.5,0.02846,-0.00732,-0.05182,-0.09541
-68.4,0.02947,-0.00642,-0.05104,-0.09475
-68.3,0.03047,-0.00551,-0.05026,-0.09408
-68.2,0.03148,-0.00461,-0.04948,-0.09341
-68.1,0.03248,-0.00371,-0.0487,-0.09273
-68,0.03347,-0.00281,-0.04792,-0.09206
-67.9,0.03447,-0.00191,-0.04714,-0.09138
-67.8,0.03546,-0.00102,-0.04636,-0.09069
-67.7,0.03645,-1.19E-04,-0.04557,-0.09001
-67.6,0.03743,7.75E-04,-0.04479,-0.08932
-67.5,0.03841,0.00167,-0.044,-0.08863
-67.4,0.03939,0.00256,-0.04321,-0.08793
-67.3,0.04037,0.00345,-0.04243,-0.08723
-67.2,0.04133,0.00433,-0.04165,-0.08654
-67.1,0.04229,0.00521,-0.04087,-0.08585
-67,0.04324,0.00608,-0.04009,-0.08516
-66.9,0.04419,0.00695,-0.03932,-0.08447
-66.8,0.04513,0.00781,-0.03855,-0.08378
-66.7,0.04607,0.00867,-0.03779,-0.08309
-66.6,0.047,0.00953,-0.03702,-0.08241
-66.5,0.04793,0.01038,-0.03626,-0.08172
-66.4,0.04885,0.01123,-0.0355,-0.08104
-66.3,0.04977,0.01207,-0.03474,-0.08035
-66.2,0.05068,0.01291,-0.03399,-0.07967
-66.1,0.05158,0.01375,-0.03324,-0.07899
-66,0.05248,0.01458,-0.03249,-0.07831
-65.9,0.05337,0.0154,-0.03175,-0.07764
-65.8,0.05424,0.01621,-0.03102,-0.07697
-65.7,0.05511,0.01701,-0.0303,-0.07631
-65.6,0.05597,0.0178,-0.02958,-0.07566
-65.5,0.05681,0.01859,-0.02887,-0.07501
-65.4,0.05765,0.01936,-0.02817,-0.07437
-65.3,0.05848,0.02013,-0.02748,-0.07374
-65.2,0.05929,0.02088,-0.02679,-0.07311
-65.1,0.0601,0.02163,-0.02611,-0.07249
-65,0.06089,0.02237,-0.02544,-0.07187
-64.9,0.06168,0.0231,-0.02478,-0.07126
-64.8,0.06245,0.02382,-0.02413,-0.07067
-64.7,0.0632,0.02451,-0.02349,-0.07008
-64.6,0.06394,0.0252,-0.02287,-0.06951
-64.5,0.06467,0.02588,-0.02225,-0.06894
-64.4,0.06539,0.02655,-0.02164,-0.06838
-64.3,0.0661,0.02721,-0.02104,-0.06783
-64.2,0.0668,0.02786,-0.02045,-0.06729
-64.1,0.06748,0.0285,-0.01987,-0.06675
-64,0.06816,0.02912,-0.0193,-0.06623
-63.9,0.06882,0.02974,-0.01873,-0.06571
-63.8,0.06948,0.03035,-0.01818,-0.0652
-63.7,0.07012,0.03095,-0.01763,-0.06469
-63.6,0.07075,0.03154,-0.0171,-0.0642
-63.5,0.07136,0.0321,-0.01658,-0.06372
-63.4,0.07196,0.03266,-0.01607,-0.06325
-63.3,0.07255,0.03321,-0.01557,-0.06279
-63.2,0.07313,0.03375,-0.01508,-0.06234
-63.1,0.0737,0.03428,-0.0146,-0.06189
-63,0.07426,0.0348,-0.01412,-0.06146
-62.9,0.0748,0.03531,-0.01366,-0.06103
-62.8,0.07534,0.03581,-0.0132,-0.06061
-62.7,0.07587,0.0363,-0.01276,-0.0602
-62.6,0.07638,0.03678,-0.01232,-0.05979
-62.5,0.07689,0.03725,-0.01189,-0.0594
-62.4,0.07738,0.03771,-0.01147,-0.05901
-62.3,0.07786,0.03815,-0.01106,-0.05864
-62.2,0.07833,0.03859,-0.01067,-0.05827
-62.1,0.07879,0.03902,-0.01028,-0.05791
-62,0.07924,0.03944,-0.00989,-0.05756
-61.9,0.07969,0.03986,-0.00951,-0.05721
-61.8,0.08013,0.04027,-0.00914,-0.05687
-61.7,0.08056,0.04067,-0.00877,-0.05653
-61.6,0.08098,0.04106,-0.00842,-0.0562
-61.5,0.0814,0.04145,-0.00806,-0.05587
-61.4,0.08181,0.04183,-0.00772,-0.05555
-61.3,0.08221,0.0422,-0.00738,-0.05524
-61.2,0.0826,0.04257,-0.00704,-0.05493
-61.1,0.08298,0.04292,-0.00672,-0.05464
-61,0.08335,0.04326,-0.00641,-0.05435
-60.9,0.08371,0.0436,-0.0061,-0.05407
-60.8,0.08407,0.04393,-0.0058,-0.05379
-60.7,0.08442,0.04426,-0.00551,-0.05352
-60.6,0.08476,0.04457,-0.00522,-0.05325
-60.5,0.08509,0.04489,-0.00493,-0.05299
-60.4,0.08542,0.04519,-0.00466,-0.05274
-60.3,0.08574,0.04549,-0.00438,-0.05249
-60.2,0.08606,0.04578,-0.00412,-0.05224
-60.1,0.08637,0.04607,-0.00386,-0.052
-60,0.08667,0.04635,-0.0036,-0.05177
-59.9,0.08697,0.04663,-0.00334,-0.05153
-59.8,0.08727,0.04691,-0.00309,-0.0513
-59.7,0.08757,0.04719,-0.00284,-0.05107
-59.6,0.08786,0.04745,-0.0026,-0.05085
-59.5,0.08814,0.04772,-0.00236,-0.05063
