"Field, V/cm","Frequency, GHz","Frequency, GHz","Frequency, GHz"
1362,532.49596,893.60371,1195.04781
1365,533.11052,894.70233,1196.5654
1368,533.7246,895.8001,1198.08181
1371,534.33821,896.89701,1199.59706
1374,534.95134,897.99308,1201.11114
1377,535.564,899.08831,1202.62405
1380,536.17619,900.18269,1204.13581
1383,536.78792,901.27623,1205.64642
1386,537.39917,902.36893,1207.15587
1389,538.00996,903.4608,1208.66417
1392,538.62028,904.55184,1210.17133
1395,539.23014,905.64205,1211.67735
1398,539.83954,906.73143,1213.18222
1401,540.44848,907.81999,1214.68596
1404,541.05695,908.90772,1216.18858
1407,541.66497,909.99463,1217.69006
1410,542.27254,911.08073,1219.19041
1413,542.87964,912.16601,1220.68965
1416,543.48629,913.25047,1222.18776
1419,544.09249,914.33413,1223.68476
1422,544.69824,915.41697,1225.18065
1425,545.30354,916.49901,1226.67543
1428,545.90839,917.58025,1228.1691
1431,546.51279,918.66068,1229.66167
1434,547.11674,919.74032,1231.15313
1437,547.72025,920.81915,1232.64351
1440,548.32331,921.8972,1234.13278
1443,548.92593,922.97445,1235.62097
1446,549.52811,924.0509,1237.10807
1449,550.12985,925.12658,1238.59409
1452,550.73115,926.20146,1240.07902
1455,551.33201,927.27556,1241.56288
1458,551.93243,928.34888,1243.04566
1461,552.53242,929.42142,1244.52736
1464,553.13197,930.49318,1246.008
1467,553.73109,931.56417,1247.48758
1470,554.32978,932.63438,1248.96608
1473,554.92804,933.70383,1250.44353
1476,555.52587,934.7725,1251.91992
1479,556.12326,935.84041,1253.39526
1482,556.72024,936.90755,1254.86954
1485,557.31678,937.97393,1256.34277
1488,557.9129,939.03955,1257.81496
1491,558.5086,940.10441,1259.28611
1494,559.10387,941.16852,1260.75621
1497,559.69872,942.23187,1262.22528
1500,560.29315,943.29447,1263.69331
1504,561.08507,944.7101,1265.64909
1508,561.87625,946.1244,1267.60303
1512,562.66669,947.53738,1269.55515
1516,563.45639,948.94904,1271.50546
1520,564.24536,950.35938,1273.45396
1524,565.03359,951.76842,1275.40066
1528,565.82109,953.17615,1277.34556
1532,566.60787,954.58258,1279.28867
1536,567.39392,955.98771,1281.23
1540,568.17925,957.39155,1283.16955
1544,568.96386,958.79411,1285.10734
1548,569.74775,960.19538,1287.04336
1552,570.53092,961.59537,1288.97762
1556,571.31339,962.99409,1290.91013
1560,572.09514,964.39154,1292.84089
1564,572.87619,965.78773,1294.76991
1568,573.65653,967.18266,1296.6972
1572,574.43617,968.57633,1298.62277
1576,575.2151,969.96874,1300.54661
1580,575.99334,971.35992,1302.46873
1584,576.77089,972.74984,1304.38915
1588,577.54774,974.13853,1306.30786
1592,578.3239,975.52599,1308.22487
1596,579.09937,976.91221,1310.14019
1600,579.87416,978.29721,1312.05383
1604,580.64826,979.68098,1313.96578
1608,581.42168,981.06354,1315.87606
1612,582.19442,982.44488,1317.78467
1616,582.96648,983.82502,1319.69161
1620,583.73787,985.20394,1321.5969
1624,584.50859,986.58167,1323.50053
1628,585.27863,987.9582,1325.40252
1632,586.04801,989.33353,1327.30286
1636,586.81672,990.70768,1329.20157
1640,587.58477,992.08064,1331.09864
1644,588.35215,993.45241,1332.99409
1648,589.11888,994.82301,1334.88792
1652,589.88495,996.19244,1336.78014
1656,590.65036,997.56069,1338.67075
1660,591.41512,998.92778,1340.55975
1664,592.17923,1000.2937,1342.44715
1668,592.94269,1001.65847,1344.33296
1672,593.7055,1003.02208,1346.21718
1676,594.46767,1004.38454,1348.09981
1680,595.2292,1005.74585,1349.98087
1684,595.99008,1007.10602,1351.86035
1688,596.75033,1008.46504,1353.73827
1692,597.50994,1009.82293,1355.61462
1696,598.26891,1011.17969,1357.48942
1700,599.02726,1012.53532,1359.36266
1704,599.78497,1013.88982,1361.23435
1708,600.54205,1015.2432,1363.1045
1712,601.29851,1016.59546,1364.97311
1716,602.05434,1017.94661,1366.84019
1720,602.80955,1019.29664,1368.70573
1724,603.56414,1020.64557,1370.56976
1728,604.31811,1021.99339,1372.43226
1732,605.07147,1023.34011,1374.29325
1736,605.82421,1024.68573,1376.15273
1740,606.57633,1026.03026,1378.01071
1744,607.32785,1027.3737,1379.86718
1748,608.07875,1028.71605,1381.72216
1752,608.82905,1030.05731,1383.57565
1756,609.57874,1031.39749,1385.42766
1760,610.32783,1032.7366,1387.27818
1764,611.07632,1034.07463,1389.12722
1768,611.8242,1035.4116,1390.97479
1772,612.57149,1036.74749,1392.82089
1776,613.31819,1038.08232,1394.66553
1780,614.06428,1039.41609,1396.50871
1784,614.80979,1040.7488,1398.35044
1788,615.5547,1042.08046,1400.19071
1792,616.29903,1043.41106,1402.02954
1796,617.04276,1044.74062,1403.86693
1800,617.78592,1046.06913,1405.70288
1804,618.52848,1047.3966,1407.53739
1808,619.27047,1048.72303,1409.37048
1812,620.01187,1050.04842,1411.20215
1816,620.7527,1051.37278,1413.03239
1820,621.49295,1052.69612,1414.86122
1824,622.23262,1054.01842,1416.68864
1828,622.97172,1055.33971,1418.51465
1832,623.71025,1056.65997,1420.33925
1836,624.44821,1057.97921,1422.16246
1840,625.1856,1059.29744,1423.98427
1844,625.92242,1060.61466,1425.80469
1848,626.65868,1061.93087,1427.62373
1852,627.39437,1063.24608,1429.44138
1856,628.12951,1064.56028,1431.25765
1860,628.86408,1065.87348,1433.07255
1864,629.59809,1067.18569,1434.88608
1868,630.33155,1068.4969,1436.69824
1872,631.06445,1069.80712,1438.50904
1876,631.79679,1071.11636,1440.31848
1880,632.52859,1072.42461,1442.12657
1884,633.25983,1073.73187,1443.9333
1888,633.99052,1075.03816,1445.73869
1892,634.72067,1076.34347,1447.54274
1896,635.45027,1077.6478,1449.34544
1900,636.17932,1078.95117,1451.14681
1904,636.90784,1080.25356,1452.94685
1908,637.63581,1081.55499,1454.74556
1912,638.36324,1082.85546,1456.54295
1916,639.09013,1084.15497,1458.33902
1920,639.81649,1085.45352,1460.13377
1924,640.54231,1086.75112,1461.9272
1928,641.26759,1088.04776,1463.71933
1932,641.99235,1089.34345,1465.51015
1936,642.71657,1090.6382,1467.29968
1940,643.44026,1091.932,1469.0879
1944,644.16343,1093.22487,1470.87483
1948,644.88607,1094.51679,1472.66047
1952,645.60818,1095.80778,1474.44482
1956,646.32977,1097.09783,1476.22788
1960,647.05084,1098.38695,1478.00967
1964,647.77139,1099.67515,1479.79018
1968,648.49142,1100.96242,1481.56942
1972,649.21093,1102.24876,1483.34738
1976,649.92992,1103.53418,1485.12409
1980,650.6484,1104.81869,1486.89953
1984,651.36637,1106.10228,1488.67371
1988,652.08382,1107.38496,1490.44663
1992,652.80076,1108.66672,1492.2183
1996,653.5172,1109.94758,1493.98872
2000,654.23312,1111.22754,1495.7579
