CH_voltage,lockinIC_R,lockinIC_T
0.1673,6.352309e-07,148.7368
0.1672,8.450075e-08,-104.0514
0.1671,9.425226e-07,176.0837
0.167,2.596266e-07,-15.23943
0.1669,5.028918e-07,98.14971
0.1668,8.450578e-07,87.70446
0.1667,7.029622e-07,81.89399
0.1666,1.14889e-06,121.7256
0.1665,8.894652e-07,39.71112
0.1664,5.605258e-07,-168.0081
0.1663,4.386808e-07,118.5872
0.1662,7.912907e-07,-122.3996
0.1661,6.691999e-07,-142.6063
0.166,1.124583e-06,41.61687
0.1659,7.067397e-07,142.6377
0.1658,1.606464e-06,58.02172
0.1657,5.50026e-07,154.662
0.1656,5.779769e-07,127.5755
0.1655,4.106462e-07,-68.08378
0.1654,1.054627e-06,60.19673
0.1653,1.46315e-06,66.7689
0.1652,2.097934e-07,139.7223
0.1651,1.036729e-06,132.0574
0.165,1.153338e-06,143.4508
0.1649,4.573389e-07,-174.4159
0.1648,7.59406e-07,80.17883
0.1647,8.085016e-07,132.6379
0.1646,1.087842e-06,16.85505
0.1645,8.824132e-07,145.3784
0.1644,6.622485e-07,62.47928
0.1643,1.007851e-06,92.30427
0.1642,1.306867e-06,91.4956
0.1641,1.187223e-06,82.17538
0.164,1.009007e-06,133.2402
0.1639,1.033717e-06,136.6251
0.1638,1.142011e-06,136.4126
0.1637,8.075069e-07,100.4016
0.1636,2.361763e-06,166.6553
0.1635,1.496136e-06,96.73617
0.1634,1.259833e-06,113.9705
0.1633,1.344401e-06,85.66757
0.1632,1.588845e-06,147.6807
0.1631,2.258364e-07,84.13621
0.163,9.807944e-07,113.1943
0.1629,1.078331e-06,29.35302
0.1628,1.316931e-06,117.0347
0.1627,7.332935e-07,113.1349
0.1626,1.2858e-06,112.084
0.1625,1.20435e-06,137.2055
0.1624,1.739161e-06,125.9845
0.1623,4.324056e-07,145.9308
0.1622,7.842611e-07,20.5289
0.1621,1.246897e-06,98.04655
0.162,1.088121e-06,134.7623
0.1619,1.709958e-06,75.37941
0.1618,1.594126e-06,104.1318
0.1617,8.179955e-07,135.6267
0.1616,6.494242e-07,-153.0561
0.1615,1.143783e-06,21.50106
0.1614,8.142963e-07,131.8966
0.1613,7.146522e-07,134.6617
0.1612,1.415809e-06,112.3288
0.1611,1.41881e-06,104.2009
0.161,4.144404e-07,-96.25882
0.1609,1.100258e-06,142.4541
0.1608,8.125472e-07,109.6547
0.1607,7.726494e-07,113.7695
0.1606,2.998877e-07,121.7439
0.1605,8.930135e-07,44.60231
0.1604,1.043608e-06,104.471
0.1603,1.144509e-06,176.0268
0.1602,1.743312e-06,171.6509
0.1601,7.075276e-07,-150.9538
0.16,1.766502e-06,76.45036
